,r,p,significant
1,0.404,0.246,False
2,0.298,0.366,False
3,0.6700000000000002,0.052000000000000005,True
4,0.612,0.05600000000000001,True
5,0.45999999999999996,0.164,False
6,0.492,0.124,False
7,0.11200000000000002,0.6559999999999999,False
8,0.044000000000000004,0.766,False
9,-0.048,0.6199999999999999,False
10,0.24,0.426,False
11,0.796,0.012,True
12,0.23199999999999998,0.488,False
13,0.504,0.12799999999999997,False
14,-0.05,0.8800000000000001,False
15,0.41,0.2,False
16,0.39,0.25599999999999995,False
17,0.654,0.05600000000000001,True
18,-0.29800000000000004,0.378,False
19,0.15,0.4699999999999999,False
20,0.182,0.6,False
21,-0.34,0.332,False
22,0.182,0.6060000000000001,False
23,0.27399999999999997,0.404,False
24,-0.014000000000000002,0.828,False
25,0.013999999999999995,0.7540000000000001,False
26,0.576,0.074,True
27,0.09,0.708,False
28,0.42800000000000005,0.21000000000000002,False
29,0.10800000000000001,0.756,False
30,0.45599999999999996,0.18400000000000002,False
31,0.088,0.732,False
32,0.25,0.45999999999999996,False
33,,,False
34,0.238,0.462,False
35,0.026000000000000002,0.9,False
36,-0.024,0.7539999999999999,False
37,0.328,0.33999999999999997,False
38,0.396,0.24800000000000005,False
39,0.256,0.4779999999999999,False
40,0.366,0.338,False
41,0.6320000000000001,0.05600000000000001,True
42,0.5399999999999999,0.08600000000000001,True
43,0.632,0.05,True
44,0.312,0.354,False
45,0.33799999999999997,0.28200000000000003,False
46,0.5820000000000001,0.086,True
47,-0.044000000000000004,0.716,False
48,-0.18,0.568,False
49,-0.14800000000000002,0.6599999999999999,False
50,0.34400000000000003,0.27399999999999997,False
51,0.41200000000000003,0.22200000000000003,False
52,0.076,0.624,False
53,0.354,0.24,False
54,-0.026000000000000002,0.85,False
55,0.642,0.038,True
56,-0.23200000000000004,0.48599999999999993,False
57,-0.08400000000000002,0.642,False
58,0.27,0.426,False
59,-0.178,0.602,False
60,0.076,0.8,False
61,-0.11399999999999999,0.732,False
62,,,False
63,-0.22600000000000003,0.542,False
64,0.35,0.284,False
65,0.13599999999999998,0.674,False
66,0.11399999999999999,0.6399999999999999,False
